,file_name,sequence,prediction
0,1.mid,"[47, 54, 62, 69, 73]",47
1,1.mid,"[54, 62, 69, 73, 47]",54
2,1.mid,"[62, 69, 73, 47, 54]",62
3,1.mid,"[69, 73, 47, 54, 62]",69
4,1.mid,"[73, 47, 54, 62, 69]",73
5,1.mid,"[47, 54, 62, 69, 73]",47
6,1.mid,"[54, 62, 69, 73, 47]",59
7,1.mid,"[62, 69, 73, 47, 59]",62
8,1.mid,"[69, 73, 47, 59, 62]",66
9,1.mid,"[73, 47, 59, 62, 66]",69
10,1.mid,"[47, 59, 62, 66, 69]",47
11,1.mid,"[59, 62, 66, 69, 47]",59
12,1.mid,"[62, 66, 69, 47, 59]",62
13,1.mid,"[66, 69, 47, 59, 62]",66
14,1.mid,"[69, 47, 59, 62, 66]",69
15,1.mid,"[47, 59, 62, 66, 69]",52
16,1.mid,"[59, 62, 66, 69, 52]",59
17,1.mid,"[62, 66, 69, 52, 59]",62
18,1.mid,"[66, 69, 52, 59, 62]",67
19,1.mid,"[69, 52, 59, 62, 67]",71
20,1.mid,"[52, 59, 62, 67, 71]",74
21,1.mid,"[59, 62, 67, 71, 74]",52
22,1.mid,"[62, 67, 71, 74, 52]",59
23,1.mid,"[67, 71, 74, 52, 59]",62
24,1.mid,"[71, 74, 52, 59, 62]",67
25,1.mid,"[74, 52, 59, 62, 67]",71
26,1.mid,"[52, 59, 62, 67, 71]",74
27,1.mid,"[59, 62, 67, 71, 74]",50
28,1.mid,"[62, 67, 71, 74, 50]",61
29,1.mid,"[67, 71, 74, 50, 61]",66
30,1.mid,"[71, 74, 50, 61, 66]",69
31,1.mid,"[74, 50, 61, 66, 69]",76
32,1.mid,"[50, 61, 66, 69, 76]",50
33,1.mid,"[61, 66, 69, 76, 50]",61
34,1.mid,"[66, 69, 76, 50, 61]",66
35,1.mid,"[69, 76, 50, 61, 66]",69
36,1.mid,"[76, 50, 61, 66, 69]",76
37,1.mid,"[50, 61, 66, 69, 76]",47
38,1.mid,"[61, 66, 69, 76, 47]",54
39,1.mid,"[66, 69, 76, 47, 54]",62
40,1.mid,"[69, 76, 47, 54, 62]",69
41,1.mid,"[76, 47, 54, 62, 69]",73
42,1.mid,"[47, 54, 62, 69, 73]",47
43,1.mid,"[54, 62, 69, 73, 47]",54
44,1.mid,"[62, 69, 73, 47, 54]",62
45,1.mid,"[69, 73, 47, 54, 62]",69
46,1.mid,"[73, 47, 54, 62, 69]",73
47,1.mid,"[47, 54, 62, 69, 73]",47
48,1.mid,"[54, 62, 69, 73, 47]",59
49,1.mid,"[62, 69, 73, 47, 59]",62
50,1.mid,"[69, 73, 47, 59, 62]",66
51,1.mid,"[73, 47, 59, 62, 66]",69
52,1.mid,"[47, 59, 62, 66, 69]",47
53,1.mid,"[59, 62, 66, 69, 47]",59
54,1.mid,"[62, 66, 69, 47, 59]",62
55,1.mid,"[66, 69, 47, 59, 62]",66
56,1.mid,"[69, 47, 59, 62, 66]",69
57,1.mid,"[47, 59, 62, 66, 69]",52
58,1.mid,"[59, 62, 66, 69, 52]",59
59,1.mid,"[62, 66, 69, 52, 59]",62
60,1.mid,"[66, 69, 52, 59, 62]",67
